#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
55.127	539	55.152	550
55.177	548	55.202	562
55.228	555	55.254	575
55.278	557	55.304	589
55.329	555	55.355	602
55.380	550	55.405	613
55.431	541	55.456	624
55.481	529	55.507	632
55.532	515	55.558	637
55.582	499	55.608	639
55.633	482	55.659	638
55.684	466	55.709	634
55.735	450	55.760	627
55.785	436	55.811	618
55.836	425	55.862	606
55.886	416	55.912	593
55.938	411	55.963	579
55.988	410	56.013	564
56.039	412	56.065	552
56.089	418	56.115	539
56.140	427	56.166	529
56.191	439	56.216	521
56.242	453	56.267	516
56.292	469	56.318	515
56.343	485	56.369	517
56.393	500	56.419	522
56.445	515	56.470	530
56.495	528	56.520	541
56.546	538	56.571	553
56.596	546	56.622	567
56.647	550	56.673	582
56.697	550	56.723	597
56.749	547	56.774	610
56.799	540	56.824	623
56.850	530	56.876	634
56.900	518	56.926	641
56.951	504	56.977	645
57.002	489	57.027	646
57.053	474	57.078	643
57.103	460	57.129	637
